#,Dataslice name,Dataslice is relevant to,Columns in this data slice,Field type,Datatype in python,Column description
1,undata_ls,Livestock,ls_feed_common_pasture,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'Community-managed pasture land' selected.
1,undata_ls,Livestock,ls_feed_self_produced,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'Owned or rented field or self-produced fodder' selected.
1,undata_ls,Livestock,ls_feed_purchased,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'Purchase feed or fodder at the market' selected.
1,undata_ls,Livestock,ls_feed_free_dist,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'Free distribution' selected.
1,undata_ls,Livestock,ls_feed_other,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'Other' selected.
1,undata_ls,Livestock,ls_feed_dk,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'DON'T KNOW' selected.
1,undata_ls,Livestock,ls_feed_ref,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'REFUSED' selected.
2,undata_ls_dif,Livestock,,,,
2,undata_ls_dif,Livestock,ls_proddif,esriFieldTypeSmallInteger,integer,Question asked: 'Has your household faced any significant difficulty with livestock production over the last 3 months?'.
2,undata_ls_dif,Livestock,ls_proddif_feed_purchase,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Difficulty to purchase feed (e.g. prices or access to market)'."
2,undata_ls_dif,Livestock,ls_proddif_access_pasture,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Access to pasture'."
2,undata_ls_dif,Livestock,ls_proddif_access_water,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Access to water'."
2,undata_ls_dif,Livestock,ls_proddif_vet_serv,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Access to veterinary services (vaccinations, treatments, spraying, advisory etc.)'."
2,undata_ls_dif,Livestock,ls_proddif_vet_input,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Access to veterinary inputs (medicine for animals / tools for animal health / etc)'."
2,undata_ls_dif,Livestock,ls_proddif_diseases,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Livestock diseases or injury'."
2,undata_ls_dif,Livestock,ls_proddif_theft,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Livestock theft'."
2,undata_ls_dif,Livestock,ls_proddif_access_market,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Access to livestock market to buy young animals'."
2,undata_ls_dif,Livestock,ls_proddif_access_credit,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Access to credit'."
2,undata_ls_dif,Livestock,ls_proddif_access_labour,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Access to manpower labour '."
2,undata_ls_dif,Livestock,ls_proddif_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'Other'."
2,undata_ls_dif,Livestock,ls_proddif_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'DON'T KNOW'."
2,undata_ls_dif,Livestock,ls_proddif_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_proddif' question 'Has your household faced any significant difficulty with livestock production over the last 3 months?', the respondent is required to select which difficulties the household faced with livestock production over the last 3 months. 'Yes' if 'REFUSED'."
2,undata_ls_dif,Livestock,ls_salesmain,esriFieldTypeSmallInteger,integer,Question asked: 'What was the main livestock or livestock product sold by your household in the last 3 months?'
2,undata_ls_dif,Livestock,ls_salesdif,esriFieldTypeSmallInteger,integer,Question asked: 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]?'. [ls_main] will be replaced by the response of the households to the question 'What was the main animal raised for food and income generation in the last 12 month by your household?'.
2,undata_ls_dif,Livestock,ls_salesdif_marketing_cost,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'High transportation or other marketing costs'."
2,undata_ls_dif,Livestock,ls_salesdif_damage_losses,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Damage and losses during transportation or difficulty accessing the market'."
2,undata_ls_dif,Livestock,ls_salesdif_low_demand,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Lack of demand from usual traders or buyers'."
2,undata_ls_dif,Livestock,ls_salesdif_pay_delay,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Payment delays from traders / buyers'."
2,undata_ls_dif,Livestock,ls_salesdif_low_price,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Low selling prices'."
2,undata_ls_dif,Livestock,ls_salesdif_slaughterhouse,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Closure of slaughterhouses or difficulties accessing slaughterhouses'."
2,undata_ls_dif,Livestock,ls_salesdif_processing,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Difficulties processing product other than closure of slaughterhouse'."
2,undata_ls_dif,Livestock,ls_salesdif_competition,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Market flooded with products'."
2,undata_ls_dif,Livestock,ls_salesdif_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'Other'."
2,undata_ls_dif,Livestock,ls_salesdif_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'DON'T KNOW'."
2,undata_ls_dif,Livestock,ls_salesdif_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'ls_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [ls_salesmain]', the respondent is required to select which difficulties the household faced with selling livestock over the last 3 months. 'Yes' if 'REFUSED'."
2,undata_ls_dif,Livestock,ls_salesprice,esriFieldTypeSmallInteger,integer,"Question asked: 'How does the current price of your household's [ls_salesmain] compare to the average price in the same period of #reference year#?' #reference year# will be replaced with the country specific information (e.g. a normal year, last year, etc...). [income_main] will be replaced with the main income source of the respondent."
3,undata_crp,Crops,,,,
3,undata_crp,Crops,crp_landsize_ha,esriFieldTypeDouble,float,Question asked: 'What is the total size of the land you can cultivate?' The answer is converted into hectares.
3,undata_crp,Crops,crp_main,esriFieldTypeInteger,integer,"Question asked: 'What is the main crop that your household grows for food and income generation in #season#, if any?'. #season# will be replaced with the country specific information (e.g. wet season, monsoon season, harvest season, etc...)."
3,undata_crp,Crops,crp_main_check,esriFieldTypeSmallInteger,integer,"Question asked: 'Why did you not produce any crops in #season#?'. #season# will be replaced with the country specific information (e.g. wet season, monsoon season, harvest season, etc...)."
3,undata_crp,Crops,crp_irrig_source,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you normally and mainly obtain water for the production of [crp_main]?'. [crp_main] will be replaced with the main crop grown by the respondent's household.
3,undata_crp,Crops,crp_irrig_system,esriFieldTypeSmallInteger,integer,Question asked: 'Do you (your community) use a pump for your own (the communal) irrigation system?'
3,undata_crp,Crops,crp_irrig_pay,esriFieldTypeSmallInteger,integer,"Question asked: 'Do you have to pay for water rights (e.g. water rights, communal infrastructure maintenance, gas for communal pump, etc.)?'"
3,undata_crp,Crops,crp_seed_ownprod,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'Own production' selected.
3,undata_crp,Crops,crp_seed_market,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'Local market or agro-input shop/dealer' selected.
3,undata_crp,Crops,crp_seed_company,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'Private seed company' selected.
3,undata_crp,Crops,crp_seed_ngo,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'NGOs' selected.
3,undata_crp,Crops,crp_seed_organized_community,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'Community seed banks / farmer networks / farmers' association / etc.' selected.
3,undata_crp,Crops,crp_seed_gov,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'Government (e.g. MoA)' selected.
3,undata_crp,Crops,crp_seed_relatives_friends,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'Relatives or friends' selected.
3,undata_crp,Crops,crp_seed_other,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'Other' selected.
3,undata_crp,Crops,crp_seed_dk,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'DON'T KNOW' selected.
3,undata_crp,Crops,crp_seed_ref,esriFieldTypeSmallInteger,integer,Question asked: 'Who do you normally procure your seeds from?' 'Yes' if 'REFUSED' selected.
3,undata_crp,Crops,crp_area_change,esriFieldTypeSmallInteger,integer,"Question asked: 'How did the area planted for [crp_main] from #season# compare to #reference year#?'. #season# and #reference year# will be replaced with the country specific information (e.g. wet season, monsoon season, harvest season, etc...) and (e.g. a normal year, last year, etc...) respectively."
3,undata_crp,Crops,crp_harv_change,esriFieldTypeSmallInteger,integer,"Question asked: 'How does the (expected or nothing) harvest of [crp_main] in the #season# compare to #reference year#?'. #season# and #reference year# will be replaced with the country specific information (e.g. wet season, monsoon season, harvest season, etc...) and (e.g. a normal year, last year, etc...) respectively. [crp_main] will be replaced with the main crop grown by the respondent's household."
3,undata_crp,Crops,crp_harv_vol_kg,esriFieldTypeDouble,float,"Following an answer to the question: 'How much (threshed) [crp_main] did you harvest this #season#?', the respondent is required to answer the additional question: 'How many kilograms (kgs) in each unit?'. #season# will be replaced with the country specific information (e.g. wet season, monsoon season, harvest season, etc...)."
3,undata_crp,Crops,crp_harv_lastyr_kg,esriFieldTypeDouble,float,Question asked: 'How many [crp_harv_unit] of (threshed) [crp_main] did you harvest last year during the same season?'. [crp_harv_unit] will be replaced with the unit of measurement for harvested [crp_main] and [crp_main] will be replaced with the main crop grown by the respondent's household.
3,undata_crp,Crops,crp_proddif,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household faced any significant difficulty in terms of crop production in #season#?'. #season# will be replaced with the country specific information (e.g. wet season, monsoon season, harvest season, etc...)."
3,undata_crp,Crops,crp_proddif_plant_disease,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Plant disease' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_pest_outbreak,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Pest outbreak (including birds)' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_animal_grazing,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Uncontrolled animal grazing' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_access_plot,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to plot' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_access_fertilize,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to fertilizer (not available on markets or prices too high)' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_seed_quality,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to quality seeds' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_seed_quantity,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to enough seeds (not available on markets or prices too high)' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_access_pesticide,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to pesticides' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_access_labour,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to manpower labour' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_access_machinery,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to machinery, tools or animals for ploughing' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_access_fuel,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to fuel or electricity to power agricultural equipment' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_soil_erosion,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Soil erosion' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_lack_irrigation,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Not enough irrigation / rainfall water' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_excess_water,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Too much irrigation / water ' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_access_credit,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Access to credit' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'Other' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'DON'T KNOW' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_proddif_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_proddif' question 'Has your household faced any significant difficulty in terms of crop production in #season#?', the respondent is required to select which difficulties the household faced with crop production in #season#. 'Yes' if 'REFUSED' selected. #season# will be replaced with the country specific information."
3,undata_crp,Crops,crp_storage,esriFieldTypeSmallInteger,integer,"Question asked: 'Last year, what proportion of your [crp_main] stock did you lose [to pests, rotting, mould, etc.] after the harvest?'  [crp_main] will be replaced by the response of the households to the question 'What is the main crop that your household grows for food and income generation in #season#, if any?'"
3,undata_crp,Crops,crp_salesmain,esriFieldTypeInteger,integer,Question asked: 'What was the main crop that you have sold over the last 3 months?'
3,undata_crp,Crops,crp_salesdif,esriFieldTypeSmallInteger,integer,Question asked: 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?' [crp_salesmain] will be replaced by the response of the households to the question 'What was the main crop that you have sold over the last 3 months?'
3,undata_crp,Crops,crp_saledif_marketing_cost,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'High transportation or other marketing costs'"
3,undata_crp,Crops,crp_saledif_damage_losses,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'Damages and losses due to storage difficulties and/or difficulty accessing the market (e.g. insecurity, poor infrastructure, etc.)'"
3,undata_crp,Crops,crp_saledif_low_demand,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'Lack of demand from usual traders or buyers'"
3,undata_crp,Crops,crp_saledif_pay_delay,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'Payment delays from traders / buyers'"
3,undata_crp,Crops,crp_saledif_low_price,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'Low selling prices (e.g. compared to input prices / inflation)'"
3,undata_crp,Crops,crp_saledif_processing,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'Difficulty processing product (lack of processing inputs / equipment / etc)'"
3,undata_crp,Crops,crp_saledif_competition,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'Market flooded with products'"
3,undata_crp,Crops,crp_saledif_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'Other'"
3,undata_crp,Crops,crp_saledif_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'DON'T KNOW'"
3,undata_crp,Crops,crp_saledif_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'crp_salesdif' question 'Has your household faced any significant difficulty in the last 3 months selling your [crp_salesmain]?', the respondent is required to select which difficulties the household faced with selling their [crp_salesmain]. 'Yes' if 'REFUSED'"
3,undata_crp,Crops,crp_salesprice,esriFieldTypeSmallInteger,integer,Question asked: 'How does the current price of your household's [crp_salesmain] compare to the average price in the same period of #reference year#?'. [crp_salesmain] will be replaced by the response of the households to the question 'What was the main crop that you have sold over the last 3 months?' and #reference year# will be replaced with the country specific information.
4,undata_fish,Fishing,,,,
