Domain,Area,Element,Months,Year,Unit,Value,Flag Description
Temperature change on land,Ecuador,Temperature change,November,1976,°c,0.757,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1976,°c,0.747,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1977,°c,0.482,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1977,°c,0.115,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1977,°c,0.395,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1977,°c,0.221,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1977,°c,0.195,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1977,°c,0.467,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1977,°c,0.227,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1977,°c,0.149,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1977,°c,0.23,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1977,°c,0.31,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1977,°c,0.558,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1977,°c,0.825,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1978,°c,0.401,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1978,°c,0.661,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1978,°c,0.36,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1978,°c,0.105,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1978,°c,0.208,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1978,°c,-0.205,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1978,°c,0.141,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1978,°c,-0.433,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1978,°c,-0.015,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1978,°c,0.122,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1978,°c,0.673,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1978,°c,0.323,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1979,°c,0.47,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1979,°c,0.422,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1979,°c,0.384,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1979,°c,0.457,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1979,°c,0.459,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1979,°c,0.357,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1979,°c,0.579,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1979,°c,0.753,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1979,°c,0.72,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1979,°c,0.755,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1979,°c,0.493,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1979,°c,0.438,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1980,°c,0.793,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1980,°c,0.737,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1980,°c,0.708,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1980,°c,0.692,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1980,°c,0.775,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1980,°c,0.952,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1980,°c,0.318,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1980,°c,0.214,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1980,°c,0.112,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1980,°c,0.119,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1980,°c,0.1,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1980,°c,0.151,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1981,°c,0.034,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1981,°c,-0.011,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1981,°c,0.268,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1981,°c,0.187,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1981,°c,-0.011,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1981,°c,-0.014,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1981,°c,-0.269,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1981,°c,-0.209,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1981,°c,0.151,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1981,°c,0.038,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1981,°c,0.022,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1981,°c,0.623,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1982,°c,0.151,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1982,°c,0.369,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1982,°c,0.562,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1982,°c,0.264,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1982,°c,0.328,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1982,°c,0.772,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1982,°c,0.735,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1982,°c,0.699,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1982,°c,1.017,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1982,°c,0.448,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1982,°c,1.175,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1982,°c,0.742,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1983,°c,1.4,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1983,°c,1.595,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1983,°c,1.399,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1983,°c,0.908,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1983,°c,1.081,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1983,°c,1.8,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1983,°c,2.026,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1983,°c,1.376,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1983,°c,0.937,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1983,°c,0.301,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1983,°c,0.549,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1983,°c,0.075,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1984,°c,-0.042,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1984,°c,-0.266,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1984,°c,0.226,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1984,°c,-0.104,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1984,°c,-0.063,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1984,°c,0.163,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1984,°c,-0.304,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1984,°c,0.004,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1984,°c,-0.04,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1984,°c,0.55,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1984,°c,0.094,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1984,°c,0.349,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1985,°c,0.088,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1985,°c,-0.126,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1985,°c,0.3,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1985,°c,0.217,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1985,°c,-0.492,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1985,°c,-0.133,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1985,°c,-0.452,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1985,°c,-0.276,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1985,°c,0.105,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1985,°c,-0.057,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1985,°c,-0.36,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1985,°c,0.053,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1986,°c,0.304,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1986,°c,0.1,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1986,°c,-0.204,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1986,°c,0.434,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1986,°c,0.1,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1986,°c,-0.158,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1986,°c,-0.072,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1986,°c,0.529,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1986,°c,0.517,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1986,°c,0.352,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1986,°c,0.376,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1986,°c,0.472,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1987,°c,1.015,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1987,°c,1.018,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1987,°c,1.074,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1987,°c,0.979,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1987,°c,0.831,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1987,°c,1.137,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1987,°c,1.263,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1987,°c,1.229,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1987,°c,1.461,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1987,°c,1.199,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1987,°c,1.213,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1987,°c,0.899,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1988,°c,1.009,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1988,°c,1.012,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1988,°c,0.547,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1988,°c,0.441,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1988,°c,0.59,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1988,°c,-0.005,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1988,°c,-0.158,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1988,°c,0.175,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1988,°c,0.362,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1988,°c,0.148,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1988,°c,0.076,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1988,°c,-0.068,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1989,°c,-0.219,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1989,°c,-0.329,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1989,°c,-0.154,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1989,°c,0.071,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1989,°c,-0.32,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1989,°c,-0.178,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1989,°c,-0.152,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1989,°c,0.163,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1989,°c,0.188,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1989,°c,0.291,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1989,°c,0.669,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1989,°c,0.578,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1990,°c,0.554,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1990,°c,0.503,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1990,°c,0.561,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1990,°c,0.561,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1990,°c,0.474,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1990,°c,0.791,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1990,°c,0.238,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1990,°c,0.223,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1990,°c,0.604,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1990,°c,0.405,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1990,°c,0.545,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1990,°c,0.33,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1991,°c,0.641,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1991,°c,0.612,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1991,°c,0.802,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1991,°c,0.354,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1991,°c,0.903,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1991,°c,1.095,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1991,°c,0.564,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1991,°c,-0.078,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1991,°c,0.501,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1991,°c,0.011,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1991,°c,0.694,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1991,°c,0.563,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1992,°c,1.064,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1992,°c,0.844,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1992,°c,1.277,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1992,°c,1.367,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1992,°c,1.563,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1992,°c,1.176,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1992,°c,0.751,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1992,°c,0.669,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1992,°c,0.569,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1992,°c,0.305,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1992,°c,0.329,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1992,°c,0.098,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1993,°c,0.275,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1993,°c,0.417,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1993,°c,0.644,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1993,°c,0.961,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1993,°c,0.989,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1993,°c,0.991,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1993,°c,0.829,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1993,°c,0.41,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1993,°c,0.697,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1993,°c,0.239,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1993,°c,0.297,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1993,°c,0.533,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1994,°c,0.5,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1994,°c,0.229,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1994,°c,0.357,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1994,°c,0.263,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1994,°c,0.316,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1994,°c,0.245,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1994,°c,0.263,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1994,°c,0.507,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1994,°c,0.456,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1994,°c,0.365,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1994,°c,0.329,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1994,°c,0.723,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1995,°c,0.905,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1995,°c,0.726,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1995,°c,0.601,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1995,°c,0.777,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1995,°c,0.344,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1995,°c,1.129,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1995,°c,0.979,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1995,°c,0.776,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1995,°c,0.932,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1995,°c,0.417,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1995,°c,0.547,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1995,°c,0.13,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1996,°c,-0.227,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1996,°c,-0.08,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1996,°c,0.062,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1996,°c,0.186,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1996,°c,0.071,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1996,°c,0.03,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1996,°c,-0.234,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1996,°c,0.212,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1996,°c,0.555,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1996,°c,-0.018,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1996,°c,-0.049,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1996,°c,-0.14,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1997,°c,0.233,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1997,°c,-0.024,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1997,°c,0.69,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1997,°c,0.424,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1997,°c,1.245,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1997,°c,2.047,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1997,°c,1.667,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1997,°c,1.556,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1997,°c,2.746,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1997,°c,2.375,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1997,°c,2.057,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1997,°c,1.827,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1998,°c,2.041,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1998,°c,2.042,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1998,°c,1.495,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1998,°c,1.535,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1998,°c,1.495,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1998,°c,1.297,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1998,°c,1.188,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1998,°c,0.893,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1998,°c,0.716,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1998,°c,0.558,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1998,°c,0.652,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1998,°c,0.462,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1999,°c,0.151,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1999,°c,-0.043,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1999,°c,0.449,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1999,°c,-0.311,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1999,°c,-0.162,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1999,°c,0.471,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1999,°c,0.375,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1999,°c,0.199,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1999,°c,0.511,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1999,°c,-0.006,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1999,°c,0.322,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1999,°c,0.277,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2000,°c,0.213,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2000,°c,-0.108,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2000,°c,0.047,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2000,°c,0.004,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2000,°c,0.052,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2000,°c,0.37,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2000,°c,0.139,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2000,°c,0.518,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2000,°c,0.493,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2000,°c,0.466,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2000,°c,0.46,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2000,°c,0.297,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2001,°c,0.183,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2001,°c,0.207,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2001,°c,0.476,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2001,°c,0.854,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2001,°c,0.406,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2001,°c,-0.114,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2001,°c,0.899,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2001,°c,0.429,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2001,°c,0.48,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2001,°c,0.658,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2001,°c,0.952,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2001,°c,0.793,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2002,°c,0.838,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2002,°c,0.797,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2002,°c,0.876,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2002,°c,0.893,Estimated value
Temperature change on land,Ecuador,Temperature change,May,2002,°c,1.138,Estimated value
Temperature change on land,Ecuador,Temperature change,June,2002,°c,0.598,Estimated value
Temperature change on land,Ecuador,Temperature change,July,2002,°c,0.569,Estimated value
Temperature change on land,Ecuador,Temperature change,August,2002,°c,0.828,Estimated value
Temperature change on land,Ecuador,Temperature change,September,2002,°c,0.84,Estimated value
Temperature change on land,Ecuador,Temperature change,October,2002,°c,0.565,Estimated value
Temperature change on land,Ecuador,Temperature change,November,2002,°c,0.587,Estimated value
Temperature change on land,Ecuador,Temperature change,December,2002,°c,0.799,Estimated value
Temperature change on land,Ecuador,Temperature change,January,2003,°c,1.124,Estimated value
Temperature change on land,Ecuador,Temperature change,February,2003,°c,1.091,Estimated value
Temperature change on land,Ecuador,Temperature change,March,2003,°c,0.559,Estimated value
Temperature change on land,Ecuador,Temperature change,April,2003,°c,0.905,Estimated value
